Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Azerbaijan,5201,1024,0.0,603,0.43,31,176,0.0,Asia,2018,1161,19
Tajikistan,5199,474,0.0,598,292,187,34,0.0,Asia,2018,1166,33
Jordan,5161,822,0.0,645,468,0.13,134,0.0,Asia,2018,1265,40
Nigeria,5155,689,0.0,48,462,201,32,0.0,Africa,2018,1172,31
Kyrgyzstan,5131,0.53,0.0,594,0.54,281,35,0.0,Asia,2018,1416,28
Bosnia and Herzegovina,5129,915,0.0,758,0.28,216,0.0,0.0,Europe,2018,1078,37
Mongolia,5125,914,0.0,575,395,253,32,0.0,Asia,2018,1517,41
Vietnam,5103,715,0.0,702,618,177,79,0.0,Asia,2018,1365,35
Indonesia,5093,899,0.0,522,538,484,18,0.0,Asia,2018,1215,25
Cameroon,4975,535,0.0,182,454,183,43,0.0,Africa,2018,891,42
Bulgaria,4933,1054,0.0,712,359,64,9,0.0,Europe,2018,1515,40
Nepal,4.88,425,0.0,539,526,302,78,0.0,Asia,2018,1228,31
Venezuela,4806,996,0.0,657,133,56,52,0.0,South America,2018,1469,48
Gabon,4758,1036,0.0,404,356,32,52,0.0,Africa,2018,1164,39
South Africa,4724,0.94,0.0,0.33,516,103,56,0.0,Africa,2018,1.41,32
Iran,4707,1059,0.0,691,459,282,129,0.0,Asia,2018,771,43
Ghana,4657,592,0.0,337,499,212,29,0.0,Africa,2018,896,38
Senegal,4631,429,0.0,433,406,138,82,0.0,Africa,2018,1117,18
Tunisia,4592,0.9,0.0,0.69,271,0.04,63,0.0,Africa,2018,906,21
Albania,4586,916,0.0,0.79,419,149,32,0.0,Europe,2018,817,45
Sierra Leone,4571,256,0.0,0.0,355,238,53,0.0,Africa,2018,813,33
Bangladesh,4.5,532,0.0,579,0.58,153,144,0.0,Asia,2018,0.85,42
Sri Lanka,4471,918,0.0,672,585,307,0.05,0.0,Asia,2018,1314,35
Iraq,4456,1.01,0.0,536,304,148,95,0.0,Asia,2018,971,30
Mali,4447,0.37,0.0,152,367,139,56,0.0,Africa,2018,1233,27
Cambodia,4433,549,0.0,457,696,256,65,0.0,Asia,2018,1088,56
Burkina Faso,4424,314,0.0,254,312,175,128,0.0,Africa,2018,1097,28
Egypt,4419,885,0.0,553,312,92,107,0.0,Africa,2018,1025,28
Kenya,4.41,493,0.0,454,504,352,55,0.0,Africa,2018,1048,42
Zambia,4377,562,0.0,295,503,221,82,0.0,Africa,2018,1047,28
Mauritania,4356,557,0.0,292,129,134,93,0.0,Africa,2018,1245,18
Ethiopia,4.35,308,0.0,391,452,0.22,146,0.0,Africa,2018,0.95,31
Georgia,4.34,853,0.0,643,375,38,215,0.0,Asia,2018,592,30
Armenia,4321,816,0.0,666,0.26,77,28,0.0,Asia,2018,0.99,38
Myanmar,4308,682,0.0,429,0.58,598,178,0.0,Asia,2018,1174,30
Chad,4301,358,0.0,53,189,181,0.06,0.0,Africa,2018,907,20
India,4.19,721,0.0,485,539,172,93,0.0,Asia,2018,747,30
Niger,4166,131,0.0,221,0.39,175,99,0.0,Africa,2018,867,35
Uganda,4161,322,0.0,237,0.45,259,61,0.0,Africa,2018,1.09,26
Benin,4141,378,0.0,0.24,0.44,163,67,0.0,Africa,2018,372,32
Ukraine,4103,793,0.0,609,163,187,11,0.0,Europe,2018,1413,37
Togo,3999,259,0.0,253,434,158,101,0.0,Africa,2018,474,32
Guinea,3964,344,0.0,211,394,185,94,0.0,South America,2018,792,40
Madagascar,3774,262,0.0,402,221,155,49,0.0,Africa,2018,908,31
Zimbabwe,3692,357,0.0,248,406,132,99,0.0,Africa,2018,1094,24
Afghanistan,3632,332,0.0,255,85,191,36,0.0,Asia,2018,537,22
Botswana,3.59,1017,0.0,417,557,42,92,0.0,Africa,2018,1174,22
Malawi,3587,186,0.0,306,531,0.21,0.08,0.0,Africa,2018,541,22
Haiti,3582,315,0.0,289,25,392,104,0.0,South America,2018,714,61
Liberia,3495,76,0.0,267,419,206,0.03,0.0,Africa,2018,858,31
Rwanda,3408,332,0.0,0.4,636,0.2,444,0.0,Africa,2018,896,16
Yemen,3355,442,0.0,343,244,83,64,0.0,Asia,2018,1073,55
Tanzania,3303,455,0.0,381,481,0.27,97,0.0,Africa,2018,991,36
Burundi,2905,91,0.0,145,65,149,76,0.0,Africa,2018,627,15
